Standard Nipples

STANDARD
SIZE,PART NUMBER
"1/4""xCL",1AN0201
"x1-1/2""",1AN0215
"x2""",1AN0220
"x2-1/2""",1AN0225
"x3""",1AN0230
"x3-1/2""",1AN0235
"x4""",1AN0240
"x4-1/2""",1AN0245
"x5""",1AN0250
"x5-1/2""",1AN0255
"x6""",1AN0260
"3/8""xCL",1AN0301
"x1-1/2""",1AN0315
"x2""",1AN0320
"x2-1/2""",1AN0325
"x3""",1AN0330
"x3-1/2""",1AN0335
"x4""",1AN0340
"x4-1/2""",1AN0345
"x5""",1AN0350
"x5-1/2""",1AN0355
"x6""",1AN0360
"1/2""xCL",1AN0501
"x1-1/2""",1AN0515
"x2""",1AN0520
"x2-1/2""",1AN0525
"x3""",1AN0530
"x3-1/2""",1AN0535
"x4""",1AN0540
"x4-1/2""",1AN0545
"x5""",1AN0550
"x5-1/2""",1AN0555
"x6""",1AN0560
"3/4""xCL",1AN0701
"x1-1/2""",1AN0715
"x2""",1AN0720
"x2-1/2""",1AN0725
"x3""",1AN0730
"x3-1/2""",1AN0735
"x4""",1AN0740
"x4-1/2""",1AN0745
"x5""",1AN0750
"x5-1/2""",1AN0755
"x6""",1AN0760
"1""xCL",1AN1001
"x2""",1AN1020
"x2-1/2""",1AN1025
"x3""",1AN1030
"x3-1/2""",1AN1035
"x4""",1AN1040
"x4-1/2""",1AN1045
"x5""",1AN1050
"x5-1/2""",1AN1055
"x6""",1AN1060
"1-1/4""xCL",1AN1201
"x2""",1AN1220
"x2-1/2""",1AN1225
"x3""",1AN1230
"x3-1/2""",1AN1235
"x4""",1AN1240
"x4-1/2""",1AN1245
"x5""",1AN1250
"x5-1/2""",1AN1255
"x6""",1AN1260
"1-1/2""xCL",1AN1501
"x2""",1AN1520
"x2-1/2""",1AN1525
"x3""",1AN1530
"x3-1/2""",1AN1535
"x4""",1AN1540
"x4-1/2""",1AN1545
"x5""",1AN1550
"x5-1/2""",1AN1555
"x6""",1AN1560
"2""xCL",1AN2001
"x2-1/2""",1AN2025
"x3""",1AN2030
"x3-1/2""",1AN2035
"x4""",1AN2040
"x4-1/2""",1AN2045
"x5""",1AN2050
"x5-1/2""",1AN2055
"x6""",1AN2060

Extra Heavy Nipples

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""xCL",2AS0201
"x1-1/2""",2AS0215
"x2""",2AS0220
"x2-1/2""",2AS0225
"x3""",2AS0230
"x3-1/2""",2AS0235
"x4""",2AS0240
"x4-1/2""",2AS0245
"x5""",2AS0250
"x5-1/2""",2AS0255
"x6""",2AS0260
"3/8""xCL",2AS0301
"x1-1/2""",2AS0315
"x2""",2AS0320
"x2-1/2""",2AS0325
"x3""",2AS0330
"x3-1/2""",2AS0335
"x4""",2AS0340
"x4-1/2""",2AS0345
"x5""",2AS0350
"x5-1/2""",2AS0355
"x6""",2AS0360
"1/2""xCL",2AS0501
"x1-1/2""",2AS0515
"x2""",2AS0520
"x2-1/2""",2AS0525
"x3""",2AS0530
"x3-1/2""",2AS0535
"x4""",2AS0540
"x4-1/2""",2AS0545
"x5""",2AS0550
"x5-1/2""",2AS0555
"x6""",2AS0560
"3/4""xCL",2AS0701
"x1-1/2""",2AS0715
"x2""",2AS0720
"x2-1/2""",2AS0725
"x3""",2AS0730
"x3-1/2""",2AS0735
"x4""",2AS0740
"x4-1/2""",2AS0745
"x5""",2AS0750
"x5-1/2""",2AS0755
"x6""",2AS0760
"1"" x C L",2AS1001
"x2""",2AS1020
"x2-1/2""",2AS1025
"x3""",2AS1030
"x3-1/2""",2AS1035
"x4""",2AS1040
"x4-1/2""",2AS1045
"x5""",2AS1050
"x5-1/2""",2AS1055
"x6""",2AS1060
"1-1/4""xCL",2AS1201
"x2""",2AS1220
"x2-1/2""",2AS1225
"x3""",2AS1230
"x3-1/2""",2AS1235
"x4""",2AS1240
"x4-1/2""",2AS1245
"x5""",2AS1250
"x5-1/2""",2AS1255
"x6""",2AS1260
"1-1/2""xCL",2AS1501
"x2""",2AS1520
"x2-1/2""",2AS1525
"x3""",2AS1530
"x3-1/2""",2AS1535
"x4""",2AS1540
"x4-1/2""",2AS1545
"x5""",2AS1550
"x5-1/2""",2AS1555
"x6""",2AS1560
"2""xCL",2AS2001
"x2-1/2""",2AS2025
"x3""",2AS2030
"x3-1/2""",2AS2035
"x4""",2AS2040
"x4-1/2""",2AS2045
"x5""",2AS2050
"x5-1/2""",2AS2055
"x6""",2AS2060
"2-1/2""xCL",2AS2501
"x3""",2AS2530
"x4""",2AS2540
"x5""",2AS2550
"x6""",2AS2560
"3""xCL",2AS3001
"x3""",2AS3030
"x3-1/2""",2AS3035
"x4""",2AS3040
"x4-1/2""",2AS3045
"x5""",2AS3050
"x5-1/2""",2AS3055
"x6""",2AS3060

Standard 90 Degree Elbows - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""",1NE02
"3/8""",1NE03
"1/2""",1NE05
