D760 Dispenser Cabinet

Description,Pump,Motor,Hose,Part Number
"Neptune 1"" type 4D-MD",Blackmer,1 HP,"3/4"" x 15' LPG",D760B
"Neptune 1"" type 4D-MD",Blackmer,1.5 HP,"3/4"" x 15' LPG",D762B
Description,Part Number
"""Knock Down"" Dispenser Cabinet (Shipped Unassembled)",D760C

Vertical Dispensers

Tank Size & Description,Dispenser Description,Part Number
470 Gallon Vertical,D760 (1 HP),D760V470
470 Gallon Vertical,D762 (1.5 HP),D762V470
1200 Gallon Vertical,D760 (1 HP),D760V1200
1200 Gallon Vertical,D762 (1.5 HP),D762V1200
1999 Gallon Vertical,D760 (1 HP),D760V1999
1999 Gallon Vertical,D762 (1.5 HP),D762V1999

Horizontal Dispensers

Tank Description,Dispenser Description,Part Number
500 Gallon Horizontal,D760 (1 HP),D760H500
500 Gallon Horizontal,D762 (1.5 HP),D762H500
1000 Gallon Horizontal,D760 (1 HP),D760H1000
1000 Gallon Horizontal,D762 (1.5 HP),D762H1000
1150 Gallon Horizontal,D760 (1 HP),D760H1150
1150 Gallon Horizontal,D762 (1.5 HP),D762H1150
1999 Gallon Horizontal,D760 (1 HP),D760H1999
1999 Gallon Horizontal,D762 (1.5 HP),D762H1999


Swivel Joints and Accessories

REF.NO.,SIZE,STYLE,PART NUMBER
1,2“,20,3131945
2,1-1/4“,30,3131936
,2“,,3131946
3,2“,40,3131050
4,2“,50,3131052
5,2“,534,SJ534200
DESCRIPTION,SIZE,PART NUMBER
,"3/4""-1""",3108899
SealKits(Chiksan),"1-1/4""-1-1/2""",3108987
,"2""",3109078
Grease (Tube),14oz.,14OZ

Ransome Steel Bulkheads

DESCRIPTION,REF. NO.,PART NUMBER
"Horizontal Bulkhead - 2 Hole (2"" and 1-1/4"")",1,BHH2125
"Vertical Bulkhead - 2 Hole (2"" and 1-1/4"")",2,BHV2125
"Vertical Bulkhead - 2 Hole (2"" and 1-1/4"") w/ Support Plate",3,BHV2125T
"Vertical Bulkhead - 2 Hole (3"" and 2"") w/ Support Plate",4,BHV3200T
"Horizontal Bulkhead - 3 Hole (2"", 2"", and 1-1/4"")",5,BHH22125
"Vertical Bulkhead - 3 Hole (2"", 2"" and 1-14"")",6,BHV22125
